TimeStamp,BlockHeight,Registered Token,TotalSupply
"10/17/2022, 5:18:20 AM",15763032,0x0FD10b9899882a6f2fcb5c371E17e70FdEe00C38,28034596355900246280113306
"10/17/2022, 5:18:20 AM",15763032,0xdAC17F958D2ee523a2206206994597C13D831ec7,153537423565
"10/17/2022, 5:18:20 AM",15763032,0x6B175474E89094C44Da98b954EedeAC495271d0F,0
"10/17/2022, 5:18:20 AM",15763032,0xdB25f211AB05b1c97D595516F45794528a807ad8,0
"10/17/2022, 5:18:20 AM",15763032,0x514910771AF9Ca656af840dff83E8264EcF986CA,0
"10/17/2022, 5:18:20 AM",15763032,0xAE12C5930881c53715B369ceC7606B70d8EB229f,0
"10/17/2022, 5:18:31 AM",15763033,0x0FD10b9899882a6f2fcb5c371E17e70FdEe00C38,28034596355900246280113306
"10/17/2022, 5:18:31 AM",15763033,0xdAC17F958D2ee523a2206206994597C13D831ec7,153537423565
"10/17/2022, 5:18:31 AM",15763033,0x6B175474E89094C44Da98b954EedeAC495271d0F,0
"10/17/2022, 5:18:31 AM",15763033,0xdB25f211AB05b1c97D595516F45794528a807ad8,0
"10/17/2022, 5:18:31 AM",15763033,0x514910771AF9Ca656af840dff83E8264EcF986CA,0
"10/17/2022, 5:18:31 AM",15763033,0xAE12C5930881c53715B369ceC7606B70d8EB229f,0
"10/17/2022, 5:18:41 AM",15763034,0x0FD10b9899882a6f2fcb5c371E17e70FdEe00C38,28034596355900246280113306
"10/17/2022, 5:18:41 AM",15763034,0xdAC17F958D2ee523a2206206994597C13D831ec7,153537423565
"10/17/2022, 5:18:41 AM",15763034,0x6B175474E89094C44Da98b954EedeAC495271d0F,0
"10/17/2022, 5:18:41 AM",15763034,0xdB25f211AB05b1c97D595516F45794528a807ad8,0
"10/17/2022, 5:18:41 AM",15763034,0x514910771AF9Ca656af840dff83E8264EcF986CA,0
"10/17/2022, 5:18:41 AM",15763034,0xAE12C5930881c53715B369ceC7606B70d8EB229f,0
"10/17/2022, 5:18:51 AM",15763034,0x0FD10b9899882a6f2fcb5c371E17e70FdEe00C38,28034596355900246280113306
"10/17/2022, 5:18:51 AM",15763034,0xdAC17F958D2ee523a2206206994597C13D831ec7,153537423565
"10/17/2022, 5:18:51 AM",15763034,0x6B175474E89094C44Da98b954EedeAC495271d0F,0
"10/17/2022, 5:18:51 AM",15763034,0xdB25f211AB05b1c97D595516F45794528a807ad8,0
"10/17/2022, 5:18:51 AM",15763034,0x514910771AF9Ca656af840dff83E8264EcF986CA,0
"10/17/2022, 5:18:51 AM",15763034,0xAE12C5930881c53715B369ceC7606B70d8EB229f,0
"10/17/2022, 5:19:02 AM",15763035,0x0FD10b9899882a6f2fcb5c371E17e70FdEe00C38,28034596355900246280113306
"10/17/2022, 5:19:02 AM",15763035,0xdAC17F958D2ee523a2206206994597C13D831ec7,153537423565
"10/17/2022, 5:19:02 AM",15763035,0x6B175474E89094C44Da98b954EedeAC495271d0F,0
"10/17/2022, 5:19:02 AM",15763035,0xdB25f211AB05b1c97D595516F45794528a807ad8,0
"10/17/2022, 5:19:02 AM",15763035,0x514910771AF9Ca656af840dff83E8264EcF986CA,0
"10/17/2022, 5:19:02 AM",15763035,0xAE12C5930881c53715B369ceC7606B70d8EB229f,0
"10/17/2022, 5:19:14 AM",15763036,0x0FD10b9899882a6f2fcb5c371E17e70FdEe00C38,28034596355900246280113306
"10/17/2022, 5:19:14 AM",15763036,0xdAC17F958D2ee523a2206206994597C13D831ec7,153537423565
"10/17/2022, 5:19:14 AM",15763036,0x6B175474E89094C44Da98b954EedeAC495271d0F,0
"10/17/2022, 5:19:14 AM",15763036,0xdB25f211AB05b1c97D595516F45794528a807ad8,0
"10/17/2022, 5:19:14 AM",15763036,0x514910771AF9Ca656af840dff83E8264EcF986CA,0
"10/17/2022, 5:19:14 AM",15763036,0xAE12C5930881c53715B369ceC7606B70d8EB229f,0
